YYYY.MM.DD,HH:MM,OPEN ,HIGH,LOW,CLOSE,VOLUME
2020.11.01,17:00,1.164880,1.164980,1.164750,1.164780,0
2020.11.01,17:01,1.164850,1.165010,1.164790,1.164790,0
2020.11.01,17:02,1.164840,1.165030,1.164790,1.164840,0
2020.11.01,17:03,1.164840,1.164840,1.164840,1.164840,0
2020.11.01,17:04,1.164840,1.164840,1.164840,1.164840,0
2020.11.01,17:05,1.164840,1.164860,1.164840,1.164850,0
2020.11.01,17:06,1.164900,1.164900,1.164900,1.164900,0
2020.11.01,17:07,1.164860,1.164870,1.164820,1.164870,0
2020.11.01,17:08,1.164880,1.164880,1.164850,1.164850,0
2020.11.01,17:09,1.164830,1.164830,1.164770,1.164830,0
2020.11.01,17:10,1.164860,1.164860,1.164820,1.164850,0
2020.11.01,17:11,1.164860,1.164870,1.164830,1.164870,0
2020.11.01,17:12,1.164880,1.164890,1.164840,1.164890,0
2020.11.01,17:13,1.164900,1.164920,1.164880,1.164920,0
2020.11.01,17:14,1.164920,1.164920,1.164870,1.164880,0
2020.11.01,17:15,1.164870,1.164930,1.164740,1.164780,0
2020.11.01,17:16,1.164790,1.164830,1.164770,1.164770,0
2020.11.01,17:17,1.164740,1.164750,1.164730,1.164750,0
2020.11.01,17:18,1.164750,1.164780,1.164750,1.164780,0
2020.11.01,17:19,1.164740,1.164820,1.164740,1.164750,0
2020.11.01,17:20,1.164750,1.164830,1.164730,1.164830,0
2020.11.01,17:21,1.164780,1.164800,1.164780,1.164790,0
2020.11.01,17:22,1.164790,1.164800,1.164790,1.164790,0
2020.11.01,17:23,1.164780,1.164800,1.164760,1.164780,0
2020.11.01,17:24,1.164670,1.164670,1.164570,1.164660,0
2020.11.01,17:25,1.164650,1.164700,1.164640,1.164660,0
2020.11.01,17:26,1.164660,1.164660,1.164650,1.164660,0
2020.11.01,17:27,1.164660,1.164660,1.164620,1.164630,0
2020.11.01,17:28,1.164620,1.164630,1.164590,1.164590,0
2020.11.01,17:29,1.164700,1.164740,1.164580,1.164580,0
2020.11.01,17:30,1.164590,1.164590,1.164550,1.164550,0
2020.11.01,17:31,1.164550,1.164550,1.164540,1.164540,0
2020.11.01,17:32,1.164540,1.164680,1.164540,1.164540,0
2020.11.01,17:33,1.164540,1.164540,1.164530,1.164540,0
2020.11.01,17:34,1.164530,1.164540,1.164500,1.164500,0
2020.11.01,17:35,1.164530,1.164590,1.164490,1.164590,0
2020.11.01,17:36,1.164520,1.164590,1.164430,1.164540,0
2020.11.01,17:37,1.164450,1.164600,1.164450,1.164480,0
2020.11.01,17:38,1.164480,1.164480,1.164470,1.164470,0
2020.11.01,17:39,1.164460,1.164550,1.164460,1.164470,0
2020.11.01,17:40,1.164550,1.164600,1.164440,1.164560,0
2020.11.01,17:41,1.164550,1.164630,1.164490,1.164500,0
2020.11.01,17:42,1.164500,1.164510,1.164500,1.164510,0
2020.11.01,17:43,1.164530,1.164530,1.164500,1.164500,0
2020.11.01,17:44,1.164570,1.164580,1.164570,1.164570,0
2020.11.01,17:45,1.164560,1.164570,1.164430,1.164540,0
2020.11.01,17:46,1.164490,1.164600,1.164370,1.164370,0
2020.11.01,17:47,1.164380,1.164380,1.164370,1.164380,0
2020.11.01,17:48,1.164370,1.164370,1.164370,1.164370,0
2020.11.01,17:49,1.164340,1.164380,1.164340,1.164380,0
2020.11.01,17:52,1.164380,1.164380,1.164380,1.164380,0
2020.11.01,17:53,1.164350,1.164390,1.164350,1.164390,0
2020.11.01,17:55,1.164390,1.164390,1.164380,1.164380,0
2020.11.01,17:56,1.164380,1.164390,1.164380,1.164390,0
2020.11.01,17:57,1.164380,1.164390,1.164380,1.164390,0
2020.11.01,17:58,1.164390,1.164400,1.164380,1.164400,0
2020.11.01,17:59,1.164390,1.164400,1.164380,1.164390,0
2020.11.02,00:00,1.163090,1.163210,1.163070,1.163150,0
2020.11.02,00:01,1.163140,1.163260,1.163140,1.163260,0
2020.11.02,00:02,1.163250,1.163370,1.163250,1.163310,0
2020.11.02,00:03,1.163320,1.163350,1.163280,1.163290,0
2020.11.02,00:04,1.163290,1.163330,1.163210,1.163250,0
2020.11.02,00:05,1.163230,1.163280,1.163210,1.163250,0
2020.11.02,00:06,1.163240,1.163300,1.163240,1.163250,0
2020.11.02,00:07,1.163240,1.163290,1.163210,1.163260,0
2020.11.02,00:08,1.163250,1.163360,1.163220,1.163350,0
2020.11.02,00:09,1.163350,1.163450,1.163350,1.163410,0
2020.11.02,00:10,1.163420,1.163460,1.163400,1.163410,0
2020.11.02,00:11,1.163420,1.163430,1.163310,1.163310,0
2020.11.02,00:12,1.163310,1.163350,1.163270,1.163310,0
2020.11.02,00:13,1.163310,1.163350,1.163300,1.163330,0
2020.11.02,00:14,1.163340,1.163370,1.163340,1.163370,0
2020.11.02,00:15,1.163390,1.163490,1.163390,1.163490,0
2020.11.02,00:16,1.163500,1.163520,1.163460,1.163490,0
2020.11.02,00:17,1.163480,1.163490,1.163420,1.163420,0
2020.11.02,00:18,1.163430,1.163500,1.163430,1.163500,0
2020.11.02,00:19,1.163500,1.163500,1.163390,1.163450,0
2020.11.02,00:20,1.163460,1.163510,1.163430,1.163430,0
2020.11.02,00:21,1.163440,1.163500,1.163410,1.163420,0
2020.11.02,00:22,1.163410,1.163460,1.163410,1.163440,0
2020.11.02,00:23,1.163430,1.163440,1.163330,1.163330,0
2020.11.02,00:24,1.163340,1.163420,1.163320,1.163400,0
2020.11.02,00:25,1.163410,1.163450,1.163400,1.163450,0
2020.11.02,00:26,1.163460,1.163460,1.163380,1.163390,0
2020.11.02,00:27,1.163400,1.163470,1.163350,1.163380,0
2020.11.02,00:28,1.163380,1.163420,1.163380,1.163390,0
2020.11.02,00:29,1.163390,1.163490,1.163360,1.163420,0
